Scenario,Method,RMSE_Mean,RMSE_Std
Extrapolation,RBF,13418.780977863673,8330.329584635429
Extrapolation,Q Fixed,29800.18748790042,18605.953723788924
Extrapolation,Q Variable,5913.089545099321,4268.601689317754
Extrapolation,NNGP Proxy,29938.366911782497,18008.99570795215
Extrapolation,VQE Ansatz Kernel,5245.623337540204,5627.954617803502
