Scenario,Method,RMSE_Mean,RMSE_Std
Interpolation,RBF,1262.9656133481199,406.14627952329886
Interpolation,Q Fixed,2956.0108603008557,2118.036760027583
Interpolation,Q Variable,1131.3201561745618,176.76302194973232
Interpolation,NNGP Proxy,2478.6699907350953,2138.337755083207
Interpolation,VQE Ansatz Kernel,899.4846806995598,280.8972477630454
