Scenario,Method,RMSE_Mean,RMSE_Std
Extrapolation,RBF,34889.34882318133,9712.59401169158
Extrapolation,Q Fixed,41045.11401464484,8001.308598833297
Extrapolation,Q Variable,37926.08119201085,3776.6990717587096
Extrapolation,NNGP Proxy,39571.61370711635,9267.88475184852
Extrapolation,VQE Ansatz Kernel,29908.664788815473,21035.11204292523
